path_name,city,date,winner,winning_margin,winning_margin_runs,player_of_match,venue,team1,team2,toss_winner,toss_decision,winning_margin_wickets
1426261.json,Mohali,2024-04-09,Sunrisers Hyderabad,{'runs': 2},2.0,Nithish Kumar Reddy,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,
1473446.json,Ahmedabad,2025-03-29,Gujarat Titans,{'runs': 36},36.0,M Prasidh Krishna,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Mumbai Indians,field,
1473450.json,Lucknow,2025-04-01,Punjab Kings,{'wickets': 8},,P Simran Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Punjab Kings,Punjab Kings,field,8.0
1426277.json,Chennai,2024-04-23,Lucknow Super Giants,{'wickets': 6},,MP Stoinis,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,6.0
1426298.json,Kolkata,2024-05-11,Kolkata Knight Riders,{'runs': 18},18.0,CV Varun,"Eden Gardens, Kolkata",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,
1422131.json,Visakhapatnam,2024-03-31,Delhi Capitals,{'runs': 20},20.0,KK Ahmed,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,
1422127.json,Jaipur,2024-03-28,Rajasthan Royals,{'runs': 12},12.0,R Parag,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,
1426282.json,Lucknow,2024-04-27,Rajasthan Royals,{'wickets': 7},,SV Samson,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,7.0
1426294.json,Delhi,2024-05-07,Delhi Capitals,{'runs': 20},20.0,Kuldeep Yadav,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,
1473470.json,Mumbai,2025-04-17,Mumbai Indians,{'wickets': 4},,WG Jacks,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,4.0
1426312.json,Chennai,2024-05-26,Kolkata Knight Riders,{'wickets': 8},,MA Starc,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,8.0
1473466.json,Delhi,2025-04-13,Mumbai Indians,{'runs': 12},12.0,KV Sharma,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,
1473467.json,Lucknow,2025-04-14,Chennai Super Kings,{'wickets': 5},,MS Dhoni,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,field,5.0
1426305.json,Mumbai,2024-05-17,Lucknow Super Giants,{'runs': 18},18.0,N Pooran,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,
1426295.json,Hyderabad,2024-05-08,Sunrisers Hyderabad,{'wickets': 10},,TM Head,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,10.0
1426283.json,Ahmedabad,2024-04-28,Royal Challengers Bengaluru,{'wickets': 9},,WG Jacks,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,9.0
1422126.json,Hyderabad,2024-03-27,Sunrisers Hyderabad,{'runs': 31},31.0,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,
1426309.json,Ahmedabad,2024-05-21,Kolkata Knight Riders,{'wickets': 8},,MA Starc,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,8.0
