path_name,team,inning_sequence,over,delivery,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,extras_wides,wicket,player_out,kind,wicket_fielders,wickets,extras_byes,replacements_match,extras_legbyes,extras_noballs,runs_non_boundary,replacements_role
1473446.json,Gujarat Titans,1.0,0.0,1,B Sai Sudharsan,TA Boult,Shubman Gill,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,0.0,2,B Sai Sudharsan,TA Boult,Shubman Gill,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,0.0,3,B Sai Sudharsan,TA Boult,Shubman Gill,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,0.0,4,Shubman Gill,TA Boult,B Sai Sudharsan,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,0.0,5,Shubman Gill,TA Boult,B Sai Sudharsan,2,0,2,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,0.0,6,Shubman Gill,TA Boult,B Sai Sudharsan,4,0,4,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,1.0,1,B Sai Sudharsan,DL Chahar,Shubman Gill,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,1.0,2,Shubman Gill,DL Chahar,B Sai Sudharsan,4,0,4,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,1.0,3,Shubman Gill,DL Chahar,B Sai Sudharsan,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,1.0,4,Shubman Gill,DL Chahar,B Sai Sudharsan,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,1.0,5,Shubman Gill,DL Chahar,B Sai Sudharsan,2,0,2,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,1.0,6,Shubman Gill,DL Chahar,B Sai Sudharsan,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,2.0,1,B Sai Sudharsan,TA Boult,Shubman Gill,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,2.0,2,B Sai Sudharsan,TA Boult,Shubman Gill,4,0,4,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,2.0,3,B Sai Sudharsan,TA Boult,Shubman Gill,2,0,2,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,2.0,4,B Sai Sudharsan,TA Boult,Shubman Gill,4,0,4,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,2.0,5,B Sai Sudharsan,TA Boult,Shubman Gill,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,2.0,6,Shubman Gill,TA Boult,B Sai Sudharsan,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,3.0,1,Shubman Gill,DL Chahar,B Sai Sudharsan,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,3.0,2,B Sai Sudharsan,DL Chahar,Shubman Gill,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,3.0,3,B Sai Sudharsan,DL Chahar,Shubman Gill,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,3.0,4,Shubman Gill,DL Chahar,B Sai Sudharsan,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,3.0,5,Shubman Gill,DL Chahar,B Sai Sudharsan,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,3.0,6,B Sai Sudharsan,DL Chahar,Shubman Gill,0,1,1,1.0,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,3.0,7,B Sai Sudharsan,DL Chahar,Shubman Gill,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,4.0,1,B Sai Sudharsan,Mujeeb Ur Rahman,Shubman Gill,4,0,4,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,4.0,2,B Sai Sudharsan,Mujeeb Ur Rahman,Shubman Gill,6,0,6,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,4.0,3,B Sai Sudharsan,Mujeeb Ur Rahman,Shubman Gill,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,4.0,4,B Sai Sudharsan,Mujeeb Ur Rahman,Shubman Gill,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,4.0,5,Shubman Gill,Mujeeb Ur Rahman,B Sai Sudharsan,4,0,4,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,4.0,6,Shubman Gill,Mujeeb Ur Rahman,B Sai Sudharsan,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,5.0,1,B Sai Sudharsan,DL Chahar,Shubman Gill,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,5.0,2,Shubman Gill,DL Chahar,B Sai Sudharsan,2,0,2,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,5.0,3,Shubman Gill,DL Chahar,B Sai Sudharsan,6,0,6,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,5.0,4,Shubman Gill,DL Chahar,B Sai Sudharsan,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,5.0,5,B Sai Sudharsan,DL Chahar,Shubman Gill,5,0,5,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,5.0,6,Shubman Gill,DL Chahar,B Sai Sudharsan,0,1,1,1.0,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,5.0,7,Shubman Gill,DL Chahar,B Sai Sudharsan,4,0,4,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,6.0,1,B Sai Sudharsan,HH Pandya,Shubman Gill,0,1,1,1.0,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,6.0,2,B Sai Sudharsan,HH Pandya,Shubman Gill,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,6.0,3,Shubman Gill,HH Pandya,B Sai Sudharsan,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,6.0,4,B Sai Sudharsan,HH Pandya,Shubman Gill,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,6.0,5,Shubman Gill,HH Pandya,B Sai Sudharsan,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,6.0,6,Shubman Gill,HH Pandya,B Sai Sudharsan,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,6.0,7,Shubman Gill,HH Pandya,B Sai Sudharsan,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,7.0,1,Shubman Gill,MJ Santner,B Sai Sudharsan,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,7.0,2,Shubman Gill,MJ Santner,B Sai Sudharsan,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,7.0,3,B Sai Sudharsan,MJ Santner,Shubman Gill,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,7.0,4,Shubman Gill,MJ Santner,B Sai Sudharsan,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,7.0,5,B Sai Sudharsan,MJ Santner,Shubman Gill,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,7.0,6,B Sai Sudharsan,MJ Santner,Shubman Gill,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,8.0,1,B Sai Sudharsan,HH Pandya,Shubman Gill,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,8.0,2,Shubman Gill,HH Pandya,B Sai Sudharsan,2,0,2,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,8.0,3,Shubman Gill,HH Pandya,B Sai Sudharsan,0,0,0,,1.0,Shubman Gill,caught,Naman Dhir,"[{'player_out': 'Shubman Gill', 'fielders': [{'name': 'Naman Dhir'}], 'kind': 'caught'}]",,,,,,
1473446.json,Gujarat Titans,1.0,8.0,4,JC Buttler,HH Pandya,B Sai Sudharsan,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,8.0,5,JC Buttler,HH Pandya,B Sai Sudharsan,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,8.0,6,JC Buttler,HH Pandya,B Sai Sudharsan,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,9.0,1,JC Buttler,MJ Santner,B Sai Sudharsan,0,0,0,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,9.0,2,JC Buttler,MJ Santner,B Sai Sudharsan,1,0,1,,,,,,,,,,,,
1473446.json,Gujarat Titans,1.0,9.0,3,B Sai Sudharsan,MJ Santner,JC Buttler,1,0,1,,,,,,,,,,,,
